condition,amplitude,w_inter,trial_idx,seed,ref_amplitude,end_val_normalized
WT,20.0,8.0,21,215409799,0.5924286926168502,0.158975417624645
WT,20.0,8.0,22,350632298,0.6012876322341176,0.158975417624645
WT,20.0,8.0,23,2071774379,0.6106356444793866,0.158975417624645
WT,20.0,8.0,24,1492822048,0.611124954370948,0.158975417624645
WT,20.0,8.0,25,199233221,0.6014749880333684,0.158975417624645
WT,20.0,8.0,26,1395966768,0.6100848949128399,0.158975417624645
WT,20.0,8.0,27,786556690,0.5901126767568844,0.158975417624645
WT,20.0,8.0,28,649984770,0.5942982969973083,0.158975417624645
WT,20.0,8.0,29,337723248,0.5961156670147414,0.158975417624645
WT,20.0,8.0,30,1094264184,0.5930807269211148,0.158975417624645
WT,20.0,8.0,31,2089154132,0.5827712264878813,0.158975417624645
WT,20.0,8.0,32,1584690825,0.5816946540029378,0.158975417624645
WT,20.0,8.0,33,795962858,0.6016815502445954,0.158975417624645
WT,20.0,8.0,34,827737825,0.585619796166424,0.158975417624645
WT,20.0,8.0,35,234713593,0.6053158605170514,0.158975417624645
WT,20.0,8.0,36,885327366,0.5927522363286283,0.158975417624645
WT,20.0,8.0,37,928832081,0.5987140820068825,0.158975417624645
WT,20.0,8.0,38,1947615286,0.5936420554792697,0.158975417624645
WT,20.0,8.0,39,20360091,0.6030646302235371,0.158975417624645
WT,20.0,8.0,40,1806363173,0.6096863408658395,0.158975417624645
WT,20.0,8.0,41,1312343691,0.5927954024197841,0.158975417624645
WT,20.0,8.0,42,1762120781,0.6045422267421071,0.158975417624645
WT,20.0,8.0,43,1700607009,0.6057078113103437,0.158975417624645
WT,20.0,8.0,44,1634649145,0.6003542411153089,0.158975417624645
WT,20.0,8.0,45,1036024353,0.6203088353906788,0.158975417624645
WT,20.0,8.0,46,261494503,0.5889364417725061,0.158975417624645
WT,20.0,8.0,47,2001682155,0.5819717469818838,0.158975417624645
WT,20.0,8.0,48,1311960750,0.5871540859510698,0.158975417624645
WT,20.0,8.0,49,295114914,0.6149845955332592,0.158975417624645
WT,25.0,8.0,0,1168784116,0.6217760786509852,0.9516161352004197
WT,25.0,8.0,1,921289450,0.6263649471250252,0.9516161352004197
WT,25.0,8.0,2,1293255992,0.6176798209748268,0.9516161352004197
